Name Mass Radius Orbit Smass Distance Habitable Method Year
"BD-06 1339 b" 8.58 1.91 0.04 0.7 20 0 "radial velocity" 2013
"BD-06 1339 c" 54.05 6.46 0.43 0.7 20 0 "radial velocity" 2013
"BD-06 1339 d" 28.93 5.26 1.06 0.7 20 0 "radial velocity" 2014
"BD-08 2823 b" 14.31 4.16 0.06 0.74 42.2 0 "radial velocity" 2009
"BD-08 2823 c" 104.92 7.9 0.67 0.74 42.2 0 "radial velocity" 2009
"BD-10 3166 b" 146.25 11.54 0.05 0.99 66 0 "radial velocity" 2000
"BD-11 4672 b" 168.51 8.97 2.28 0.57 27.3 0 "radial velocity" 2010
"BD-17 63 b" 1621.49 11.68 1.13 0.74 34.6 0 "radial velocity" 2008
"beta Cir b" 17804.64 9.03 6656 1.96 30.56 0 "imaging" 2015
"beta Cnc b" 2479.93 11.65 1.69 1.7 92.99 0 "radial velocity" 2014
"beta Pic b" 2225.58 18.48 12.47 1.73 19.3 0 "imaging" 2008
"beta Umi b" 1939.43 11.68 1.37 1.4 40.14 0 "radial velocity" 2014
"CD-35 2722 b" 9856.14 10.24 67 0.4 21.3 0 "imaging" 2011
"CFBDS 1458 b" 3338.37 11.54 2.6 0.02 31.9 0 "imaging" 2011
"CoRoT-1 b" 327.48 16.69 0.03 0.95 460 0 "primary transit" 2007
"CoRoT-2 b" 1052.38 16.41 0.03 0.97 300 0 "primary transit" 2007
"CoRoT-3 b" 6921.55 11.31 0.06 1.41 680 0 "primary transit" 2008
"CoRoT-5 b" 148.48 14.9 0.05 1 400 0 "primary transit" 2008
"CoRoT-7 b" 4.74 1.52 0.02 0.93 150 0 "primary transit" 2009
"CoRoT-7 c" 13.56 4.08 0.05 0.93 150 0 "radial velocity" 2009
"CoRoT-8 b" 68.62 6.37 0.06 0.88 380 0 "primary transit" 2010
"CoRoT-9 b" 267.07 10.53 0.4 0.99 460 0 "primary transit" 2010
"CoRoT-10 b" 874.34 10.86 0.09 0.89 345 0 "primary transit" 2010
"CoRoT-11 b" 740.8 16.02 0.04 1.27 560 0 "primary transit" 2010
"CoRoT-12 b" 291.55 16.13 0.04 1.08 1150 0 "primary transit" 2010
"CoRoT-13 b" 415.87 9.91 0.05 1.09 1310 0 "primary transit" 2010
"CoRoT-14 b" 2416.34 12.21 0.03 1.13 1340 0 "primary transit" 2010
"CoRoT-16 b" 170.1 13.1 0.06 1.1 840 0 "primary transit" 2010
"CoRoT-17 b" 772.59 11.42 0.05 1.04 920 0 "primary transit" 2010
"CoRoT-18 b" 1103.25 14.67 0.03 0.95 870 0 "primary transit" 2011
"CoRoT-19 b" 352.91 14.45 0.05 1.21 800 0 "primary transit" 2011
"CoRoT-20 b" 1348.07 9.41 0.07 1.14 1230 0 "primary transit" 2011
"CoRoT-22 b" 12.2 4.88 0.09 1.1 592 0 "primary transit" 2011
"CoRoT-23 b" 890.23 12.1 0.05 1.14 600 0 "primary transit" 2011
"CoRoT-24 b" 5.72 3.7 0.06 0.91 600 0 "primary transit" 2011
"CoRoT-24 c" 27.98 4.93 0.1 0.91 600 0 "primary transit" 2011
"CoRoT-25 b" 85.84 12.1 0.06 1.09 1000 0 "primary transit" 2012
"CoRoT-26 b" 165.33 14.11 0.05 1.09 1670 0 "primary transit" 2012
"CoRoT-28 b" 153.88 10.7 0.06 1.01 560 0 "primary transit" 2012
"CoRoT-29 b" 270.25 10.08 0.04 0.98 765 0 "primary transit" 2012
"CoRoT-30 b" 902.95 11.42 0.08 0.98 960 0 "primary transit" 2017
"CoRoT-31 b" 267.07 16.35 0.06 1.25 2190 0 "primary transit" 2017
"CVSO 30 b" 1971.23 21.39 0.01 0.39 330 0 "primary transit" 2012
"DE0823-49 b" 10015.11 10.21 0.34 0.04 20.69 0 "imaging" 2013
"EPC 212069861 b" 3.57 2.65 0.16 0.61 156 0 "primary transit" 2017
"EPIC-206011691 b" 4.31 1.59 0.07 0.64 65 0 "primary transit" 2015
"EPIC-206011691 c" 8.68 1.92 0.1 0.64 65 0 "primary transit" 2015
"EPIC-210490365 b" 7.97 3.43 0.03 0.29 45.7 0 "primary transit" 2015
"EPIC 201128338 b" 4.29 2.81 0.17 0.65 112 0 "primary transit" 2017
"EPIC 201498078 b" 70.9 9.52 0.09 1.1 214 0 "primary transit" 2018
"EPIC 201598502 b" 10.17 1.99 0.6 0.51 126 0 "primary transit" 2017
"EPIC 201637175 b" 445.12 2.8 0.01 0.6 225 0 "primary transit" 2015
"EPIC 210894022 b" 8.58 1.9 0.06 0.89 210 0 "radial velocity" 2017
"EPIC 211331236 b" 10.88 2.03 0.02 0.53 100 0 "primary transit" 2017
"EPIC 211331236 c" 9.09 1.94 0.05 0.53 100 0 "primary transit" 2017
"EPIC 211391664 b" 32.11 4.26 0.09 1.07 435 0 "primary transit" 2016
"EPIC 211418729 b" 588.19 10.55 0.09 0.83 481 0 "primary transit" 2017
"EPIC 211442297 b" 267.07 12.49 0.14 0.83 417 0 "primary transit" 2017
"EPIC 211924657 b" 16.46 2.24 0.03 0.36 80 0 "primary transit" 2017
"EPIC  211945201 b" 27.02 6.12 0.15 1.18 182.6 0 "primary transit" 2018
"EPIC 212006344 b" 1.7 1.22 0.03 0.64 74 0 "primary transit" 2017
"EPIC 213715787 b" 2.58 1.38 0.02 0.58 88 0 "primary transit" 2017
"EPIC 219388192 b" 11604.81 10.49 0.06 0.99 300 0 "primary transit" 2016
"EPIC 220194974 b" 2.3 1.33 0.05 0.65 121 0 "primary transit" 2017
"EPIC 220194974 c" 5.82 1.72 0.06 0.65 121 0 "primary transit" 2017
"EPIC 220194974 d" 4.77 1.64 0.08 0.65 121 0 "primary transit" 2017
"EPIC 220504338 b" 406.96 10.19 0.06 1.01 553.4 0 "primary transit" 2016
"EPIC 220522664 b" 4.77 1.64 0.08 0.59 118 0 "primary transit" 2017
"EPIC 220598331 b" 10.17 1.99 0.07 0.46 110 0 "primary transit" 2017
"EPIC 220621087 b" 2.37 1.34 0.04 0.44 62.7 0 "primary transit" 2017
"EPIC 228735255 b" 323.98 12.26 0.06 1 340.24 0 "primary transit" 2017
"EPIC 228934525 b" 16.11 2.23 0.04 0.67 133 0 "primary transit" 2017
"EPIC 228934525 c" 12.42 2.09 0.07 0.67 133 0 "primary transit" 2017
"EPIC 246911830 b" 451.47 17.38 0.04 1.39 676 0 "primary transit" 2018
"EPIC 248435473 b" 4.74 2.9 0.01 0.67 69.6 0 "radial velocity" 2018
"EPIC 248435473 c" 0.2 0.64 0.07 0.67 69.6 0 "radial velocity" 2018
"EPIC 248545986 b" 1.4 1.1 0.04 0.4 49 0 "primary transit" 2018
"EPIC 248545986 c" 0.89 1 0.06 0.4 49 0 "primary transit" 2018
"EPIC 248545986 d" 1.3 1.1 0.07 0.4 49 0 "primary transit" 2018
"EPIC 249622103 b" 2.71 1.4 0.03 0.8 69 0 "primary transit" 2018
"EPIC 249622103 c" 2.3 1.33 0.07 0.8 69 0 "primary transit" 2018
"EPIC 249622103 d" 3.49 2.64 0.15 0.8 69 0 "primary transit" 2018
"EPIC 249801827 b" 1589.7 1.99 0.05 0.58 70 0 "primary transit" 2018
"EPIC 249801827 c" 4.61 1.8 0.12 0.58 70 0 "primary transit" 2018
"eps CrB b" 2130.2 11.68 1.29 1.7 67.9 0 "radial velocity" 2012
"eps Eridani b" 982.43 11.58 2.41 0.83 3.2 0 "radial velocity" 2000
"eps Ind A b" 861.62 11.5 12.82 0.76 3.62 0 "radial velocity" 2018
"eps Tau b" 2333.68 11.67 1.88 2.7 45 0 "radial velocity" 2007
"eta Cet b" 810.75 11.46 1.26 1.7 38 0 "radial velocity" 2014
"eta Cet c" 1055.56 11.61 1.92 1.7 38 0 "radial velocity" 2014
"FL Lyr b" 2861.46 11.61 6.83 2.2 138 0 "pulsar" 2015
"Fomalhaut b" 953.82 11.56 114.3 1.92 7.7 0 "imaging" 2008
"FU Tau b" 4769.1 11.28 800 0.05 140 0 "imaging" 2009
"FW Tau b" 3179.4 11.57 330 0.26 145 0 "imaging" 2013
"gamma Cephei b" 3525.95 11.51 2.05 1.4 13.79 0 "radial velocity" 2003
"gamma Lib b" 327.16 10.32 1.2 1.47 50 0 "radial velocity" 2018
"gamma Lib c" 1472.06 11.68 2.17 1.47 50 0 "radial velocity" 2018
"GJ 15A b" 3.03 1.44 0.07 0.38 3.59 0 "radial velocity" 2014
"GJ 27.1 b" 13 4.03 0.1 0.53 23.99 0 "radial velocity" 2014
"GJ 86 A b" 1274.94 11.66 0.11 0.8 10.9 0 "radial velocity" 2000
"GJ 160.2 b" 10.2 3.72 0.05 0.69 23.12 0 "radial velocity" 2014
"GJ 163 b" 10.62 3.77 0.06 0.4 15 0 "radial velocity" 2012
"GJ 163 c" 7.26 1.83 0.12 0.4 15 1 "radial velocity" 2012
"GJ 163 d" 22.08 4.81 0.94 0.4 15 0 "radial velocity" 2013
"GJ 176 b" 8.43 1.9 0.07 0.49 9.42 0 "radial velocity" 2007
"GJ 179 b" 260.71 9.89 2.36 0.36 12.3 0 "radial velocity" 2010
"GJ 180 b" 8.3 1.89 0.1 0.43 11.69 1 "radial velocity" 2014
"GJ 180 c" 6.4 1.77 0.13 0.43 11.69 1 "radial velocity" 2014
"GJ 273 b" 2.89 1.42 0.09 0.29 3.8 1 "radial velocity" 2017
"GJ 273 c" 1.18 1.1 0.04 0.29 3.8 0 "radial velocity" 2017
"GJ 317 b" 813.93 11.47 1.14 0.42 15.1 0 "radial velocity" 2007
"GJ 317 c" 635.88 11.26 17.59 0.42 15.1 0 "radial velocity" 2007
"GJ 328 b" 731.26 11.39 4.18 0.69 19.8 0 "radial velocity" 2013
"GJ 422 b" 9.9 1.98 0.12 0.35 12.67 1 "radial velocity" 2014
"GJ 433 b" 5.3 1.68 0.06 0.48 8.88 0 "radial velocity" 2009
"GJ 433 c" 44.51 6.07 3.55 0.48 8.88 0 "radial velocity" 2012
"GJ 436 b" 22.26 4.26 0.03 0.45 10.2 0 "primary transit" 2004
"GJ 504 b" 1271.76 10.75 43.5 1.22 17.56 0 "imaging" 2013
"GJ 536 b" 5.37 1.69 0.07 0.52 10.03 0 "radial velocity" 2016
"GJ 570 Db" 13512.45 9.58 1500 0.8 5.91 0 "imaging" 2000
"GJ 581 b" 15.9 4.31 0.04 0.31 6.21 0 "radial velocity" 2005
"GJ 581 c" 5.4 1.69 0.07 0.31 6.21 0 "radial velocity" 2007
"GJ 581 e" 1.94 1.27 0.03 0.31 6.21 0 "radial velocity" 2009
"GJ 625 b" 3.02 1.44 0.08 0.3 6.49 0 "radial velocity" 2017
"GJ 649 b" 104.28 7.89 1.08 0.54 10.34 0 "radial velocity" 2009
"GJ 649 c" 9.54 1.96 0.04 0.54 10.34 0 "radial velocity" 2013
"GJ 667 C b" 5.6 1.71 0.05 0.33 6.8 0 "radial velocity" 2009
"GJ 667 C c" 3.8 1.54 0.12 0.33 6.8 1 "radial velocity" 2011
"GJ 667 C d" 5.1 1.67 0.28 0.33 6.8 0 "radial velocity" 2013
"GJ 667 C e" 2.7 1.4 0.21 0.33 6.8 1 "radial velocity" 2013
"GJ 667 C f" 2.7 1.4 0.16 0.33 6.8 1 "radial velocity" 2013
"GJ 667 C g" 4.6 1.62 0.55 0.33 6.8 0 "radial velocity" 2013
"GJ 674 b" 12.72 12.66 0.04 0.35 4.54 0 "radial velocity" 2007
"GJ 676 A b" 2130.2 11.68 1.71 0.71 16.45 0 "radial velocity" 2009
"GJ 676 A c" 2161.99 11.68 6.47 0.71 16.45 0 "radial velocity" 2012
"GJ 676 A d" 4.45 1.6 0.04 0.71 16.45 0 "radial velocity" 2012
"GJ 676 A e" 11.45 3.86 0.18 0.71 16.45 0 "radial velocity" 2012
"GJ 682 b" 4.4 1.6 0.08 0.27 5.08 0 "radial velocity" 2014
"GJ 682 c" 8.7 1.92 0.18 0.27 5.08 1 "radial velocity" 2014
"GJ 687 b" 18.44 4.53 0.16 0.41 4.5 0 "radial velocity" 2014
"GJ 758 b" 14307.3 9.5 36.99 0.97 15.5 0 "imaging" 2009
"GJ 785 b" 16.91 4.4 0.32 0.78 8.91 0 "radial velocity" 2010
"GJ 785 c" 24.16 4.95 1.12 0.78 8.91 0 "radial velocity" 2011
"GJ 832 b" 219.08 9.54 3.59 0.45 4.94 0 "radial velocity" 2008
"GJ 832 c" 5.4 1.69 0.16 0.45 4.94 1 "radial velocity" 2014
"GJ 849 b" 286.15 10.07 2.35 0.49 9.1 0 "radial velocity" 2006
"GJ 849 c" 244.81 9.77 5.53 0.49 9.1 0 "radial velocity" 2013
"GJ 876 b" 616.17 11.23 0.21 0.33 4.7 0 "radial velocity" 2000
"GJ 876 c" 272.16 9.98 0.13 0.33 4.7 0 "radial velocity" 2000
"GJ 876 d" 6.99 1.81 0.02 0.33 4.7 0 "radial velocity" 2005
"GJ 876 e" 14.31 4.16 0.33 0.33 4.7 0 "radial velocity" 2010
"GJ 1132 b" 1.62 1.15 0.02 0.18 12.04 0 "primary transit" 2015
"GJ 1132 c" 2.64 1.39 0.05 0.18 12.04 0 "primary transit" 2018
"GJ 1214 b" 6.46 2.67 0.01 0.15 13 0 "primary transit" 2009
"GJ 3021 b" 1071.46 11.61 0.42 0.9 17.62 0 "radial velocity" 2000
"GJ 3293 b" 23.55 4.91 0.14 0.42 17.9 0 "radial velocity" 2014
"GJ 3293 c" 21.1 4.73 0.36 0.42 17.9 0 "other" 2014
"GJ 3293 d" 7.63 1.85 0.19 0.42 17.9 1 "radial velocity" 2014
"GJ 3293 e" 3.27 1.47 0.08 0.42 17.9 0 "radial velocity" 2017
"GJ 3323 b" 2.02 1.28 0.03 0.16 5.32 1 "radial velocity" 2017
"GJ 3323 c" 2.31 1.34 0.12 0.16 5.32 0 "radial velocity" 2017
"GJ 3341 b" 6.6 1.78 0.08 0.47 23.2 0 "radial velocity" 2014
"GJ 3470 b" 13.91 4.19 0.04 0.54 29.28 0 "primary transit" 2012
"GJ 3634 b" 8.27 1.89 0.03 0.45 19.8 0 "radial velocity" 2011
"GJ 3942 b" 7.15 1.82 0.06 0.63 16.93 0 "radial velocity" 2017
"GJ 3998 b" 2.47 1.36 0.03 0.5 17.8 0 "radial velocity" 2016
"GJ 3998 c" 6.26 1.76 0.09 0.5 17.8 0 "radial velocity" 2016
"GJ 9827 b" 8.2 1.64 0.02 0.66 30.3 0 "primary transit" 2017
"GJ 9827 c" 2.51 1.29 0.04 0.66 30.3 0 "primary transit" 2017
"GJ 9827 d" 3.82 2.08 0.06 0.66 30.3 0 "primary transit" 2017
"GQ Lup b" 6835.71 20.16 103 0.7 140 0 "imaging" 2005
"GSC 6214-210 b" 5404.98 11.14 320 0.6 145 0 "imaging" 2010
"GU Psc b" 3497.34 15.12 2000 0.35 48 0 "imaging" 2014
"HAT-P-1 b" 166.92 14.77 0.06 1.15 139 0 "primary transit" 2006
"HAT-P-2 b" 2778.8 10.65 0.06 1.34 118 0 "primary transit" 2007
"HAT-P-3 b" 187.9 9.26 0.04 0.92 130 0 "primary transit" 2007
"HAT-P-4 b" 216.2 14.22 0.04 1.26 310 0 "primary transit" 2007
"HAT-P-5 b" 337.02 14.02 0.04 1.16 340 0 "primary transit" 2007
"HAT-P-6 b" 336.06 14.9 0.05 1.29 200 0 "primary transit" 2007
"HAT-P-7 b" 553.53 16.03 0.04 1.51 320 0 "primary transit" 2008
"HAT-P-8 b" 426.04 16.8 0.04 1.28 230 0 "primary transit" 2008
"HAT-P-9 b" 213.02 15.68 0.05 1.28 480 0 "primary transit" 2008
"HAT-P-11 b" 26.21 4.73 0.05 0.81 38 0 "primary transit" 2009
"HAT-P-12 b" 66.92 10.69 0.04 0.73 142.5 0 "primary transit" 2009
"HAT-P-13 b" 270.25 14.34 0.04 1.22 214 0 "primary transit" 2009
"HAT-P-13 c" 4540.18 11.32 0.89 1.22 214 0 "radial velocity" 2009
"HAT-P-14 b" 699.47 13.44 0.06 1.39 205 0 "primary transit" 2010
"HAT-P-15 b" 618.71 12.01 0.09 1.01 190 0 "primary transit" 2010
"HAT-P-16 b" 1333.12 14.44 0.04 1.22 235 0 "primary transit" 2010
"HAT-P-17 b" 169.78 11.31 0.08 0.86 90 0 "primary transit" 2010
"HAT-P-17 c" 445.12 10.82 2.74 0.86 90 0 "radial velocity" 2010
"HAT-P-18 b" 58.18 10.61 0.06 0.77 166 0 "primary transit" 2010
"HAT-P-19 b" 92.84 12.68 0.05 0.84 215 0 "primary transit" 2010
"HAT-P-20 b" 2303.79 9.71 0.04 0.76 70 0 "primary transit" 2010
"HAT-P-21 b" 1291.79 11.47 0.05 0.95 254 0 "primary transit" 2010
"HAT-P-22 b" 682.62 12.1 0.04 0.92 82 0 "primary transit" 2010
"HAT-P-23 b" 664.49 15.32 0.02 1.13 393 0 "primary transit" 2010
"HAT-P-24 b" 217.79 13.91 0.05 1.19 306 0 "primary transit" 2010
"HAT-P-25 b" 180.27 13.33 0.05 1.01 297 0 "primary transit" 2010
"HAT-P-26 b" 18.61 6.32 0.05 0.82 134 0 "primary transit" 2010
"HAT-P-27-WASP-40 b" 209.84 11.82 0.04 0.94 204 0 "primary transit" 2011
"HAT-P-28 b" 199.03 13.57 0.04 1.02 395 0 "primary transit" 2011
"HAT-P-29 b" 247.36 12.4 0.07 1.21 322 0 "primary transit" 2011
"HAT-P-30-WASP-51 b" 226.06 15.01 0.04 1.18 193 0 "primary transit" 2011
"HAT-P-31 b" 690.25 11.98 0.05 1.22 354 0 "primary transit" 2011
"HAT-P-32 b" 299.18 22.81 0.03 1.18 320 0 "primary transit" 2011
"HAT-P-33 b" 242.59 20.46 0.05 1.4 419 0 "primary transit" 2011
"HAT-P-34 b" 1058.1 12.4 0.06 1.36 257 0 "primary transit" 2012
"HAT-P-35 b" 335.11 14.92 0.05 1.24 535 0 "primary transit" 2012
"HAT-P-36 b" 582.47 14.16 0.02 1.02 317 0 "primary transit" 2012
"HAT-P-37 b" 371.67 13.19 0.04 0.93 411 0 "primary transit" 2012
"HAT-P-38 b" 84.89 9.24 0.05 0.89 249 0 "primary transit" 2012
"HAT-P-39 b" 190.45 17.6 0.05 1.4 642 0 "primary transit" 2012
"HAT-P-40 b" 195.53 19.38 0.06 1.51 501 0 "primary transit" 2012
"HAT-P-41 b" 254.35 18.87 0.04 1.28 344 0 "primary transit" 2012
"HAT-P-42 b" 309.99 14.3 0.06 1.18 447 0 "primary transit" 2012
"HAT-P-43 b" 209.84 14.37 0.04 1.05 543 0 "primary transit" 2012
"HAT-P-44 b" 124.63 14.34 0.05 0.94 374 0 "primary transit" 2013
"HAT-P-44 c" 508.7 11 0.7 0.94 374 0 "primary transit" 2013
"HAT-P-45 b" 283.6 15.97 0.05 1.26 305 0 "primary transit" 2013
"HAT-P-46 b" 156.74 14.38 0.06 1.28 296 0 "primary transit" 2013
"HAT-P-46 c" 635.88 11.26 0.39 1.28 296 0 "primary transit" 2013
"HAT-P-47 b" 65.5 14.71 0.06 1.39 268 0 "primary transit" 2016
"HAT-P-48 b" 53.41 12.67 0.05 1.1 305 0 "primary transit" 2016
"HAT-P-49 b" 550.04 15.83 0.04 1.54 322 0 "primary transit" 2014
"HAT-P-50 b" 432.4 14.43 0.04 1.27 597 0 "primary transit" 2015
"HAT-P-51 b" 98.24 14.48 0.05 0.98 470 0 "primary transit" 2015
"HAT-P-52 b" 260.39 11.3 0.04 0.89 385 0 "primary transit" 2015
"HAT-P-53 b" 472.78 14.76 0.03 1.09 719 0 "primary transit" 2015
"HAT-P-54 b" 241.63 10.57 0.04 0.65 135.8 0 "primary transit" 2014
"HAT-P-55 b" 185.04 13.24 0.05 1.01 480 0 "primary transit" 2015
"HAT-P-56 b" 699.47 16.42 0.04 1.3 310.5 0 "primary transit" 2015
"HAT-P-57 b" 588.19 15.83 0.04 1.47 303 0 "primary transit" 2015
"HAT-P-65 b" 167.55 21.17 0.04 1.21 841 0 "primary transit" 2016
"HAT-P-66 b" 248.95 17.81 0.04 1.25 927 0 "primary transit" 2016
"HAT-P-67 b" 108.1 23.35 0.06 1.64 320 0 "primary transit" 2017
"HATS-1 b" 589.78 14.58 0.04 0.99 303 0 "primary transit" 2012
"HATS-2 b" 427.63 13.08 0.02 0.88 360 0 "primary transit" 2013
"HATS-3 b" 340.51 15.47 0.05 1.21 453 0 "primary transit" 2013
"HATS-4 b" 420.63 11.42 0.04 1 420 0 "primary transit" 2014
"HATS-5 b" 75.35 10.21 0.05 0.94 257 0 "primary transit" 2014
"HATS-6 b" 101.42 11.18 0.04 0.57 148.4 0 "primary transit" 2014
"HATS-7 b" 38.15 6.31 0.04 0.85 257 0 "primary transit" 2015
"HATS-8 b" 43.88 9.78 0.04 1.06 829 0 "primary transit" 2015
"HATS-9 b" 266.75 11.93 0.03 1.03 622 0 "primary transit" 2015
"HATS-10 b" 167.24 10.85 0.04 1.1 496 0 "primary transit" 2015
"HATS-11 b" 270.25 16.91 0.04 1 906 0 "primary transit" 2016
"HATS-12 b" 763.06 15.12 0.05 1.49 981 0 "primary transit" 2016
"HATS-13 b" 172.64 13.57 0.04 0.96 476 0 "primary transit" 2015
"HATS-14 b" 340.51 11.64 0.04 0.97 513 0 "primary transit" 2015
"HATS-15 b" 689.93 12.38 0.03 0.87 689 0 "primary transit" 2014
"HATS-16 b" 1039.66 14.56 0.04 0.97 774 0 "primary transit" 2015
"HATS-17 b" 425.4 8.7 0.13 1.13 339 0 "primary transit" 2016
"HATS-18 b" 629.52 14.97 0.02 1.04 645 0 "primary transit" 2016
"HATS-19 b" 135.76 18.59 0.06 1.3 780 0 "primary transit" 2016
"HATS-20 b" 86.8 8.69 0.04 0.91 454 0 "primary transit" 2016
"HATS-21 b" 105.56 12.58 0.05 1.08 286 0 "primary transit" 2016
"HATS-22 b" 871.16 10.67 0.05 0.76 207.9 0 "primary transit" 2016
"HATS-23 b" 467.37 20.83 0.03 1.12 747 0 "primary transit" 2015
"HATS-24 b" 775.77 16.65 0.02 1.21 510 0 "primary transit" 2016
"HATS-25 b" 194.9 14.11 0.05 0.99 466 0 "primary transit" 2016
"HATS-26 b" 206.66 19.6 0.05 1.3 907 0 "primary transit" 2016
"HATS-27 b" 168.51 16.8 0.06 1.42 840 0 "primary transit" 2016
"HATS-28 b" 213.66 13.37 0.04 0.93 521 0 "primary transit" 2016
"HATS-29 b" 207.61 14.01 0.05 1.03 351 0 "primary transit" 2016
"HATS-30 b" 224.47 13.16 0.04 1.09 339 0 "primary transit" 2016
"HATS-31 b" 279.79 18.37 0.05 1.27 872 0 "primary transit" 2016
"HATS-32 b" 292.5 13.99 0.04 1.1 839 0 "primary transit" 2016
